-0.1,0.0,-0.1,0.0,	1174
-0.1,0.0,-0.4,-0.3,	1530
-0.1,0.0,-0.7,-0.6,	2388
-0.1,0.0,-1.0,-0.9,	3985
-0.1,0.0,-1.3,-1.2,	6432
-0.1,0.0,-1.6,-1.5,	9673
-0.1,0.0,-1.9,-1.8,	14076
-0.1,0.0,-10.1,-10.0,	4
-0.1,0.0,-10.4,-10.3,	1
-0.1,0.0,-2.2,-2.1,	18479
-0.1,0.0,-2.5,-2.4,	21833
-0.1,0.0,-2.8,-2.7,	24328
-0.1,0.0,-3.1,-3.0,	24329
-0.1,0.0,-3.4,-3.3,	22746
-0.1,0.0,-3.7,-3.6,	20141
-0.1,0.0,-4.0,-3.9,	17556
-0.1,0.0,-4.3,-4.2,	15498
-0.1,0.0,-4.6,-4.5,	15738
-0.1,0.0,-4.9,-4.8,	16939
-0.1,0.0,-5.2,-5.1,	19723
-0.1,0.0,-5.5,-5.4,	22222
-0.1,0.0,-5.8,-5.7,	23996
-0.1,0.0,-6.1,-6.0,	23744
-0.1,0.0,-6.4,-6.3,	21458
-0.1,0.0,-6.7,-6.6,	17845
-0.1,0.0,-7.0,-6.9,	13671
-0.1,0.0,-7.3,-7.2,	9499
-0.1,0.0,-7.6,-7.5,	6005
-0.1,0.0,-7.9,-7.8,	3617
-0.1,0.0,-8.2,-8.1,	1830
-0.1,0.0,-8.5,-8.4,	931
-0.1,0.0,-8.8,-8.7,	399
-0.1,0.0,-9.1,-9.0,	166
-0.1,0.0,-9.4,-9.3,	51
-0.1,0.0,-9.7,-9.6,	19
-0.1,0.0,0.2,0.3,	1259
-0.1,0.0,0.5,0.6,	1731
-0.1,0.0,0.8,0.9,	2812
-0.1,0.0,1.1,1.2,	4751
-0.1,0.0,1.4,1.5,	7459
-0.1,0.0,1.7,1.8,	11296
-0.1,0.0,10.0,10.1,	10
-0.1,0.0,10.3,10.4,	2
-0.1,0.0,2.0,2.1,	15453
-0.1,0.0,2.3,2.4,	19436
-0.1,0.0,2.6,2.7,	22731
-0.1,0.0,2.9,3.0,	24452
-0.1,0.0,3.2,3.3,	24128
-0.1,0.0,3.5,3.6,	22011
-0.1,0.0,3.8,3.9,	18937
-0.1,0.0,4.1,4.2,	16644
-0.1,0.0,4.4,4.5,	15586
-0.1,0.0,4.7,4.8,	15968
-0.1,0.0,5.0,5.1,	18008
-0.1,0.0,5.3,5.4,	20584
-0.1,0.0,5.6,5.7,	23058
-0.1,0.0,5.9,6.0,	23817
-0.1,0.0,6.2,6.3,	22843
-0.1,0.0,6.5,6.6,	20427
-0.1,0.0,6.8,6.9,	16554
-0.1,0.0,7.1,7.2,	12192
-0.1,0.0,7.4,7.5,	8279
-0.1,0.0,7.7,7.8,	5177
-0.1,0.0,8.0,8.1,	2991
-0.1,0.0,8.3,8.4,	1469
-0.1,0.0,8.6,8.7,	738
-0.1,0.0,8.9,9.0,	320
-0.1,0.0,9.2,9.3,	135
-0.1,0.0,9.5,9.6,	41
-0.1,0.0,9.8,9.9,	16
-0.2,-0.1,-0.3,-0.2,	1458
-0.2,-0.1,-0.6,-0.5,	2075
-0.2,-0.1,-0.9,-0.8,	3341
-0.2,-0.1,-1.2,-1.1,	5483
-0.2,-0.1,-1.5,-1.4,	8519
-0.2,-0.1,-1.8,-1.7,	12500
-0.2,-0.1,-10.2,-10.1,	5
-0.2,-0.1,-2.1,-2.0,	16742
-0.2,-0.1,-2.4,-2.3,	20379
-0.2,-0.1,-2.7,-2.6,	23206
-0.2,-0.1,-3.0,-2.9,	24209
-0.2,-0.1,-3.3,-3.2,	22918
-0.2,-0.1,-3.6,-3.5,	20612
-0.2,-0.1,-3.9,-3.8,	17805
-0.2,-0.1,-4.2,-4.1,	16035
-0.2,-0.1,-4.5,-4.4,	15092
-0.2,-0.1,-4.8,-4.7,	16319
-0.2,-0.1,-5.1,-5.0,	18612
-0.2,-0.1,-5.4,-5.3,	20952
-0.2,-0.1,-5.7,-5.6,	22952
-0.2,-0.1,-6.0,-5.9,	23384
-0.2,-0.1,-6.3,-6.2,	21844
-0.2,-0.1,-6.6,-6.5,	18731
-0.2,-0.1,-6.9,-6.8,	14889
-0.2,-0.1,-7.2,-7.1,	10551
-0.2,-0.1,-7.5,-7.4,	6946
